step	action_loss	dynamics_loss	grad_norm	lr	loss
368	0.0078	0.0551	0.146	7.48e-6	0.0629
369	0.00623	0.0819	0.157	7.47e-6	0.0882
370	0.00436	0.073	0.135	7.45e-6	0.0774
371	0.00616	0.0762	0.142	7.44e-6	0.0824
372	0.00455	0.0503	0.0951	7.42e-6	0.0548
373	0.00329	0.0776	0.111	7.41e-6	0.0808
374	0.0102	0.0609	0.122	7.39e-6	0.0711
375	0.0107	0.0947	0.149	7.38e-6	0.105
376	0.00603	0.0642	0.134	7.37e-6	0.0702
377	0.00619	0.0751	0.153	7.35e-6	0.0813
378	0.0112	0.0898	0.159	7.34e-6	0.101
379	0.0043	0.0653	0.117	7.32e-6	0.0696
380	0.00742	0.0623	0.117	7.31e-6	0.0697
381	0.00431	0.087	0.109	7.29e-6	0.0914
382	0.012	0.0677	0.15	7.28e-6	0.0797
383	0.00495	0.0784	0.132	7.26e-6	0.0834
384	0.00436	0.0926	0.112	7.25e-6	0.097
385	0.00491	0.058	0.113	7.23e-6	0.0629
386	0.0103	0.068	0.136	7.22e-6	0.0783
387	0.0046	0.0843	0.133	7.2e-6	0.0889
388	0.0057	0.0714	0.121	7.19e-6	0.0771
389	0.0042	0.0825	0.113	7.17e-6	0.0867
390	0.00306	0.0616	0.103	7.16e-6	0.0647
391	0.004	0.0902	0.144	7.14e-6	0.0942
392	0.00978	0.0522	0.195	7.13e-6	0.062
393	0.00932	0.0782	0.224	7.11e-6	0.0875
394	0.00632	0.0557	0.0968	7.1e-6	0.0621
395	0.0159	0.0778	0.222	7.08e-6	0.0937
396	0.0144	0.055	0.209	7.07e-6	0.0694
397	0.00276	0.0537	0.117	7.05e-6	0.0565
398	0.0058	0.0915	0.111	7.04e-6	0.0973
399	0.00353	0.0661	0.0917	7.02e-6	0.0696
400	0.00447	0.0674	0.158	7.01e-6	0.0719
401	0.0104	0.0722	0.201	6.99e-6	0.0826
402	0.00557	0.0306	0.157	6.98e-6	0.0361
403	0.013	0.07	0.163	6.96e-6	0.083
404	0.00772	0.101	0.137	6.95e-6	0.108
405	0.0035	0.0852	0.114	6.93e-6	0.0887
406	0.00271	0.095	0.0998	6.92e-6	0.0977
407	0.00511	0.117	0.116	6.9e-6	0.122
408	0.00733	0.0976	0.166	6.89e-6	0.105
409	0.0148	0.0884	0.182	6.87e-6	0.103
410	0.00332	0.107	0.102	6.86e-6	0.11
411	0.00209	0.0398	0.0807	6.84e-6	0.0418
412	0.00451	0.122	0.132	6.83e-6	0.127
413	0.00944	0.0847	0.2	6.81e-6	0.0941
414	0.00646	0.101	0.101	6.79e-6	0.108
415	0.00566	0.0551	0.115	6.78e-6	0.0608
416	0.00715	0.104	0.127	6.76e-6	0.111
417	0.00361	0.0662	0.116	6.75e-6	0.0698
418	0.00561	0.0897	0.111	6.73e-6	0.0953
419	0.00781	0.109	0.114	6.72e-6	0.116
420	0.00577	0.079	0.108	6.7e-6	0.0847
421	0.00325	0.0603	0.103	6.69e-6	0.0636
422	0.00693	0.0762	0.111	6.67e-6	0.0831
423	0.0027	0.0754	0.101	6.65e-6	0.0781
424	0.00892	0.116	0.189	6.64e-6	0.125
425	0.00656	0.06	0.137	6.62e-6	0.0665
426	0.00217	0.0836	0.0838	6.61e-6	0.0858
427	0.00406	0.08	0.112	6.59e-6	0.0841
428	0.00879	0.028	0.0923	6.58e-6	0.0368
429	0.00399	0.0942	0.118	6.56e-6	0.0982
430	0.00669	0.0518	0.171	6.55e-6	0.0585
431	0.00272	0.109	0.091	6.53e-6	0.112
432	0.00276	0.078	0.109	6.51e-6	0.0807
433	0.00929	0.091	0.119	6.5e-6	0.1
434	0.0106	0.0988	0.167	6.48e-6	0.109
435	0.00556	0.0682	0.127	6.47e-6	0.0737
436	0.00841	0.125	0.181	6.45e-6	0.134
437	0.00949	0.0741	0.177	6.43e-6	0.0836
438	0.00313	0.038	0.0848	6.42e-6	0.0411
439	0.00566	0.0643	0.0954	6.4e-6	0.07
440	0.0129	0.0752	0.155	6.39e-6	0.0881
441	0.0071	0.0609	0.121	6.37e-6	0.068
442	0.0193	0.0538	0.213	6.36e-6	0.0731
443	0.011	0.0691	0.145	6.34e-6	0.0801
444	0.00333	0.0755	0.128	6.32e-6	0.0788
445	0.00449	0.0438	0.143	6.31e-6	0.0483
446	0.0054	0.0621	0.115	6.29e-6	0.0675
447	0.00461	0.0628	0.121	6.28e-6	0.0674
448	0.0092	0.085	0.147	6.26e-6	0.0942
449	0.00392	0.0509	0.0953	6.24e-6	0.0548
450	0.00537	0.0877	0.118	6.23e-6	0.0931
451	0.00486	0.0995	0.112	6.21e-6	0.104
452	0.00303	0.0856	0.0903	6.2e-6	0.0886
453	0.00757	0.0999	0.169	6.18e-6	0.107
454	0.00316	0.0591	0.107	6.16e-6	0.0622
455	0.00984	0.067	0.156	6.15e-6	0.0769
456	0.00369	0.0497	0.101	6.13e-6	0.0533
457	0.00729	0.0615	0.146	6.11e-6	0.0688
458	0.0109	0.0759	0.195	6.1e-6	0.0868
459	0.00489	0.054	0.137	6.08e-6	0.0589
460	0.00533	0.0663	0.104	6.07e-6	0.0717
461	0.0117	0.088	0.124	6.05e-6	0.0997
462	0.00499	0.0834	0.101	6.03e-6	0.0884
463	0.00357	0.0749	0.106	6.02e-6	0.0784
464	0.0104	0.0699	0.169	6e-6	0.0803
465	0.00535	0.0488	0.115	5.99e-6	0.0541
466	0.00512	0.0549	0.137	5.97e-6	0.06
467	0.00773	0.061	0.295	5.95e-6	0.0687
468	0.00276	0.139	0.106	5.94e-6	0.141
469	0.00438	0.107	0.106	5.92e-6	0.112
470	0.006	0.0508	0.0999	5.9e-6	0.0568
471	0.00781	0.0621	0.126	5.89e-6	0.0699
472	0.00319	0.0896	0.103	5.87e-6	0.0927
473	0.00659	0.0838	0.131	5.86e-6	0.0904
474	0.00521	0.0889	0.112	5.84e-6	0.0941
475	0.00402	0.0925	0.104	5.82e-6	0.0965
476	0.00349	0.0769	0.111	5.81e-6	0.0804
477	0.0125	0.0544	0.121	5.79e-6	0.0669
478	0.00984	0.067	0.16	5.77e-6	0.0768
479	0.00457	0.0911	0.155	5.76e-6	0.0956
480	0.00568	0.0396	0.129	5.74e-6	0.0453
481	0.0126	0.0805	0.147	5.72e-6	0.0931
482	0.000761	0.116	0.0774	5.71e-6	0.117
483	0.0038	0.128	0.108	5.69e-6	0.132
484	0.0221	0.126	0.336	5.68e-6	0.148
485	0.0253	0.0817	0.313	5.66e-6	0.107
486	0.0158	0.0673	0.268	5.64e-6	0.0831
487	0.00848	0.0642	0.15	5.63e-6	0.0727
488	0.00315	0.0513	0.0885	5.61e-6	0.0544
489	0.00583	0.0778	0.119	5.59e-6	0.0836
490	0.0176	0.0632	0.304	5.58e-6	0.0808
491	0.00934	0.0723	0.132	5.56e-6	0.0816
492	0.00432	0.0243	0.116	5.54e-6	0.0286
493	0.0146	0.0635	0.135	5.53e-6	0.0781
494	0.00985	0.132	0.132	5.51e-6	0.142
495	0.00502	0.0606	0.117	5.5e-6	0.0656
496	0.00577	0.0958	0.115	5.48e-6	0.102
497	0.0028	0.0753	0.0945	5.46e-6	0.0781
498	0.0048	0.0589	0.108	5.45e-6	0.0637
499	0.0021	0.118	0.115	5.43e-6	0.12
500	0.00621	0.0774	0.142	5.41e-6	0.0836
501	0.00767	0.133	0.124	5.4e-6	0.141
502	0.0138	0.0635	0.173	5.38e-6	0.0773
503	0.00254	0.0599	0.0947	5.36e-6	0.0624
